latitude,longitude,address,area,price
43.205202077418,76.935296643758,"Алматы, Медеуский р-н, мкр Аскартау, Курортная улица 110 — Коктем",6.0,25000
43.271963,76.957799,"Алматы, Жетысуский р-н, Байшева 46 — Райымбека",10.0,105000
43.189107,76.954808,"Алматы, Медеуский р-н, Горный Садовод 158 — Вверх по Марат Оспанова",11.0,35000
43.190228,76.970626,"Алматы, Медеуский р-н, мкр Каменское плато 34,35 — Минздрав",12.0,40000
43.219599,76.978161,"Алматы, Медеуский р-н",8.0,13800
43.341328,76.82955,"Алматы, Мкр.Мадениет",580.0,2610000
43.31838,77.023714,"Казахстан, Алматы",1800.0,2146000
43.242719650399,76.99759605028,"Казахстан, Алматы",11.0,12000
43.232127,76.921316,"Алматы, Бостандыкский р-н",14.0,320000
43.333264,77.093804,"Казахстан, Алматы",12.0,16800
43.163225,76.832401,"Алматы, Наурызбайский р-н",10.0,7000
43.187759,76.958733,"Алматы, Медеуский р-н",6.0,15000
43.175024,76.791485,"Алматы, Наурызбайский р-н",6.7,22000
43.189200103875,76.967473999999,"Алматы, Медеуский р-н, Мкр Тау-Самал, Байконурская 13",6.0,36500
43.191337,76.958124,"Алматы, Медеуский р-н, мкр Каменское плато 11 — Монтажник",6.9,16000
43.249876557918,76.980963026426,"Алматы, Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова",10.0,130000
43.163284,76.889967,"Алматы, Бостандыкский р-н, мкр Хан Тенгри",9.0,140000
43.226447,76.734449,"Алматы, Алатауский р-н, Ташкентский тракт — БАКАД",125.0,354000
43.188487,76.880092,"Алматы, Бостандыкский р-н, мкр Мирас — Садыкова",10.0,225500
43.16346,76.89197,"Алматы, Бостандыкский р-н",17.0,177000
43.194408842701,76.779645908095,"Алматы, Жанатурмыс",7.0,12000
43.218559,76.322642,"Алматы, Толе би",6.0,5500
43.315619,77.168579,"Казахстан, Алматы",93.0,50000
43.51698919442,77.073917064622,"Казахстан, Алматы",8.0,1500
43.14905,76.869457,"Алматы, Бостандыкский р-н",16.0,90000
43.249986,76.749582,"Казахстан, Алматы",400.0,5000
43.329224,76.776302,"Казахстан, Алматы",6.0,3200
43.224075054059,76.977863231789,"Алматы, Медеуский р-н",80.0,100000
43.454129,76.936159,"Алматы, 24 квартал 4",5.0,2800
43.348969,76.77121,"Алматы, Кокозек 34",14.0,15000
43.027669163755,76.91922356284,"Казахстан, Алматы",10.0,35000
43.313793905415,77.029043932364,"Алматы, Турксибский р-н, мкр Кайрат",560.0,4080000
43.1909934776,77.032016663052,"Алматы, Медеуский р-н, мкр Бутаковка",20.0,190000
43.191809701469,76.937439566571,"Алматы, Бостандыкский р-н, Ремизовка",6.0,5500
43.39825872461,76.592007866723,"Казахстан, Алматы",12.0,6500
43.391873,76.753147,"Алматы, Исаево 459",5.0,1900
43.288037884428,77.496876204047,"Казахстан, Алматы",820.0,202020
43.239197,76.739529,"Казахстан, Алматы",6.0,4000
43.234407,76.799055,"Алматы, Райымбека",389.0,500000
43.328921390059,76.837614136169,"Алматы, Алатауский р-н, мкр Коккайнар 97/6 — Акшагыл",5.5,25000
43.203488752368,76.998372529433,"Алматы, Медеуский р-н, мкр Юбилейный",40.0,99999
43.198695738419,76.942656546429,"Алматы, Бостандыкский р-н, Ремизовка — Санаторий Коктем",15.0,42000
43.332042,76.808493,"Алматы, Алатауский р-н, мкр Мадениет",8.0,16000
43.379876001866,77.051914020467,"Казахстан, Алматы",325.0,35000
43.187209246146,77.015814927787,"Алматы, Медеуский р-н, Керей",7000.0,3700000
43.178689,76.91535,"Алматы, Бостандыкский р-н",10.0,56000
43.200454,76.966012,"Алматы, Бостандыкский р-н",10.0,130000
43.188965,76.978869,"Алматы, Медеуский р-н, мкр Каменское плато, Ладушкина",100.0,370000
43.247253,76.904006,"Алматы, Алмалинский р-н, Карасай батыра — Ауэзова",2.0,27000
43.346629500754,76.822613718031,"Алматы, Алатауский р-н",4.8,8500
43.325743,76.986789,"Алматы, Турксибский р-н, мкр Кайрат",8.0,21000
43.312305,77.020807,"Алматы, Медеуский р-н, Бухтарминская  Кульджинский тракт 108",7.0,38000
43.376399,76.989222,"Алматы, Турксибский р-н, мкр 13-й военный городок, 13-й военный городок мкр",6.0,18500
43.283543,77.019677,"Алматы, Медеуский р-н, мкр Думан-1",6.0,13000
43.239071389492,76.825259786382,"Алматы, Ауэзовский р-н, мкр Аксай-3",10.0,95000
43.263364240764,76.986543213568,"Алматы, Медеуский р-н, мкр Кенсай 38 — С Т Зеленстрой",6.0,50000
43.221710844871,76.979308339123,"Алматы, Медеуский р-н, мкр Коктобе",6.0,11000
43.724553,77.025167,"Казахстан, Алматы",30000.0,150000
43.223387854904,76.945011780266,"Казахстан, Алматы",230.0,18500
43.120453,76.785232,"Казахстан, Алматы",14.0,14500
43.3222008222,76.578907902763,"Алматы, Алматы",50.0,6000
43.237163,76.945654,"Казахстан, Алматы",6.0,3300
43.182548951573,76.95479517882,"Алматы, Бостандыкский р-н",12.0,90000
43.206287914802,76.843861124027,"Алматы, Ауэзовский р-н, мкр Дубок (Шабыт)",11.6,140360
43.20204785937,76.819386966882,"Алматы, Наурызбайский р-н, мкр Таусамалы",317.0,2950000
43.354168,77.144172,"Алматы, Медеуский р-н, мкр Алатау (ИЯФ)",170.0,339950
43.360858210125,77.131172902416,"Алматы, Медеуский р-н, мкр Алатау (ИЯФ)",100.0,1162500
43.220356712476,76.881154406082,"Алматы, Ауэзовский р-н, Переулок Вишневского — Жандосова",5.0,65000
43.173605640372,76.906610348722,"Алматы, Бостандыкский р-н, мкр Нур Алатау — 11-я улица",10.0,50000
43.377205,77.008751,"Алматы, Турксибский р-н, мкр Альмерек",7.0,17500
43.278651,76.977454,"Алматы, Медеуский р-н, Чаплина 11",9.8,35000
43.192165,76.385195,"Казахстан, Алматы",3000.0,207000
43.286663609098,76.747192209441,"Алматы, Кемертоган",8.0,3000
43.211947112696,76.963425327952,"Алматы, Медеуский р-н",142.0,76500
43.255325523456,77.003751977759,"Алматы, Медеуский р-н",8.0,2600
43.252576,76.940704,"Алматы, Алмалинский р-н, Богенбай Батыра 136 б",4.56,71142
43.194699,76.857443,"Алматы, Наурызбайский р-н, мкр Рахат — Улица Сейдимбек, 300/6",6.7,48000
43.399182961773,77.161606875696,"Казахстан, Алматы",6.0,5000
